

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.b   01  V 22
/datum  49000.00
/ 047.8081818   107.5737490 
/UTC
/time nT sq 
225247.0  59152.16 96 
225250.0  59152.18 96 
225253.0  59152.22 96 
225256.0  59152.16 96 
225259.0  59152.24 95 
225302.0  59152.25 96 
225305.0  59152.22 96 
225308.0  59152.29 95 
225311.0  59152.24 96 
225314.0  59152.15 96 
225317.0  59152.19 96 
225320.0  59152.16 96 
225323.0  59152.15 96 
225326.0  59152.21 95 
225329.0  59152.17 96 
225332.0  59152.13 96 
225335.0  59152.20 95 
225338.0  59152.14 96 
225341.0  59152.15 96 
225344.0  59152.24 96 
225347.0  59152.21 96 
225350.0  59152.21 96 
225353.0  59152.24 96 
225356.0  59152.33 95 
225359.0  59152.27 96 
225402.0  59152.27 96 
225405.0  59152.26 95 
225408.0  59152.21 96 
225411.0  59152.30 96 
225414.0  59152.32 95 
225417.0  59152.30 96 
225420.0  59152.28 96 
225423.0  59152.27 95 
225426.0  59152.21 96 
225429.0  59152.18 96 
225432.0  59152.29 95 
225435.0  59152.32 96 
225438.0  59152.35 96 
225441.0  59152.40 95 
225444.0  59152.23 96 
225447.0  59152.25 96 
225450.0  59152.27 95 
225453.0  59152.30 96 
225456.0  59152.32 96 
225459.0  59152.49 95 
225502.0  59152.43 96 
225505.0  59152.39 96 
225508.0  59152.43 95 
225511.0  59152.39 96 
225514.0  59152.31 96 
225517.0  59152.42 95 
225520.0  59152.32 96 
225523.0  59152.34 96 
225526.0  59152.40 96 
225529.0  59152.31 96 
225532.0  59152.38 96 
225535.0  59152.49 95 
225538.0  59152.42 96 
225541.0  59152.40 96 
225544.0  59152.43 96 
225547.0  59152.39 96 
225550.0  59152.39 96 
225553.0  59152.44 95 
225556.0  59152.36 96 
225559.0  59152.40 96 
225602.0  59152.39 95 
225605.0  59152.32 96 
225608.0  59152.36 96 
225611.0  59152.33 96 
225614.0  59152.31 96 
225617.0  59152.31 96 
225620.0  59152.35 95 
225623.0  59152.38 96 
225626.0  59152.40 96 
225629.0  59152.46 95 
225632.0  59152.39 96 
225635.0  59152.40 96 
225638.0  59152.43 95 
225641.0  59152.36 96 
225644.0  59152.35 96 
225647.0  59152.42 95 
225650.0  59152.38 96 
225653.0  59152.39 96 
225656.0  59152.47 95 
225659.0  59152.43 96 
225702.0  59152.46 96 
225705.0  59152.47 95 
225708.0  59152.44 96 
225711.0  59152.44 96 
225714.0  59152.46 95 
225717.0  59152.36 96 
225720.0  59152.31 96 
225723.0  59152.42 95 
225726.0  59152.40 96 
225729.0  59152.36 96 
225732.0  59152.39 95 
225735.0  59152.28 96 
225738.0  59152.27 96 
225741.0  59152.29 95 
225744.0  59152.30 96 
225747.0  59152.34 96 
225750.0  59152.40 95 
225753.0  59152.38 96 
225756.0  59152.39 96 
225759.0  59152.48 95 
225802.0  59152.49 96 
225805.0  59152.44 96 
225808.0  59152.50 95 
225811.0  59152.41 96 
225814.0  59152.43 96 
225817.0  59152.44 96 
225820.0  59152.37 96 
225823.0  59152.34 96 
225826.0  59152.40 95 
225829.0  59152.34 96 
225832.0  59152.36 96 
225835.0  59152.45 95 
225838.0  59152.43 96 
225841.0  59152.41 96 
225844.0  59152.40 95 
225847.0  59152.37 96 
225850.0  59152.37 96 
225853.0  59152.42 96 
225856.0  59152.38 96 
225859.0  59152.36 96 
225902.0  59152.44 95 
225905.0  59152.35 96 
225908.0  59152.35 96 
225911.0  59152.47 96 
225914.0  59152.50 96 
225917.0  59152.43 96 
225920.0  59152.49 95 
225923.0  59152.42 96 
225926.0  59152.36 96 
225929.0  59152.46 96 
225932.0  59152.40 96 
225935.0  59152.43 96 
